table : mutation | table des mutations
coddep|code du département|varchar(3)|C||DVF|adresse|10
table : adresse_dispoparc | table de liaison entre la table adresse et la table disposition_parcelle
idadresse|identifiant de la table adresse|integer|||DVF|adresse_dispoparc|1
iddispopar|identifiant de la table disposition_parcelle|integer|||DVF|adresse_dispoparc|2
coddep|code du département|varchar(3)|C||DVF|adresse_dispoparc|3
idmutation|identifiant de clef primaire de la table mutation|integer|||DVF|adresse_dispoparc|4
table : adresse_local | table de liaison entre la table adresse et la table local
idadresse|identifiant de la table adresse|integer|||DVF|adresse_local|1
iddispoloc|identifiant de la table local|integer|||DVF|adresse_local|2
coddep|code du département|varchar(3)|C||DVF|adresse_local|3
idmutation|identifiant de clef primaire de la table mutation|integer|||DVF|adresse_local|4
table : disposition | table des dispositions
iddispo|identifiant pour clef primaire|serial|PK||DVF|disposition|1
idmutation|identifiant de clef primaire de la table mutation|integer|U||DVF|disposition|2
nodispo|numéro de disposition|integer|U||DVF|disposition|3
valeurfonc|prix ou évaluation déclarée dans le cadre d'une mutation onéreuse|numeric|||DVF|disposition|4
nblot|nombre total de lots dans la disposition|integer|||DVF|disposition|5
coddep|code du département|varchar(3)|C||DVF|disposition|6
table : lot | table des lots (seuls les 5 premiers lots sont mentionnés)
iddispolot|identifiant pour clef primaire|serial|PK||DVF|lot|1
iddispopar|identifiant de la table disposition_parcelle|integer|U||DVF|lot|2
idmutation|identifiant de clef primaire de la table mutation|integer|||DVF|lot|3
iddispoloc|identifiant de la table local|integer|U||DVF|lot|4
nolot|numéro du lot|varchar(7)|U||DVF|lot|5
scarrez|surface Loi Carrez du lot|numeric|U||DVF|lot|6
coddep|code du département|varchar(3)|C||DVF|lot|7
table : mutation_article_cgi | table des articles du code général des impôts (CGI) attachés à la mutation
idmutation|identifiant de clef primaire de la table mutation|integer|PK||DVF|mutation_article_cgi|1
idartcgi|identifiant de la table annexe ann_cgi|integer|PK||DVF|mutation_article_cgi|2
ordarticgi|numéro de l'ordre de l'article cgi|integer|||DVF|mutation_article_cgi|3
coddep|code du département|varchar(3)|C||DVF|mutation_article_cgi|4
table : parcelle | table des parcelles
idparcelle|identifiant pour clef primaire|serial|PK||DVF|parcelle|1
idpar|identifiant de la parcelle (Fichiers fonciers)|varchar(14)|U||DVF|parcelle|2
coddep|code du département|varchar(3)|C||DVF|parcelle|3
codcomm|code insee de la commune|varchar(3)|||DVF|parcelle|4
prefsect|prefixe de section de la parcelle|varchar(3)|||DVF|parcelle|5
nosect|numéro de section de la parcelle|varchar(2)|||DVF|parcelle|6
noplan|numéro de la parcelle|varchar(4)|||DVF|parcelle|7
table : suf | table des subdivisions fiscales
iddisposuf|identifiant pour clef primaire|serial|PK||DVF|suf|1
iddispopar|identifiant de la table disposition_parcelle|integer|U||DVF|suf|2
idmutation|identifiant de clef primaire de la table mutation|integer|||DVF|suf|3
nbsufidt|nombre de suf identiques|integer|U||DVF|suf|4
sterr|surface de terrain ayant muté|numeric|||DVF|suf|5
natcult|libellé de nature de culture|varchar(2)|||DVF|suf|6
natcultspe|groupe de nature de culture spéciale|varchar(5)|||DVF|suf|7
idsufinvar|identifiant invariant de la table suf|varchar(18)|U||DVF|suf|8
coddep|code du département|varchar(3)|C||DVF|suf|9
nodcnt|type de la suf|integer|||DVF|suf|10
table : volume | table des volumes (division de l'espace dans la hauteur pour certaines co-propriétés verticales
iddispovol|identifiant pour clef primaire|serial|PK||DVF|volume|1
iddispopar|identifiant de la table disposition_parcelle|integer|U||DVF|volume|2
idmutation|identifiant de clef primaire de la table mutation|integer|||DVF|volume|3
novolume|numéro de volume|varchar(7)|U||DVF|volume|4
coddep|code du département|varchar(3)|C||DVF|volume|5
table : ann_cgi | table contenant les différents articles CGI
idartcgi||serial|PK||DVF|ann_cgi|1
